Category,n,6-nt,8-nt,10-nt,12-nt,14-nt,16-nt,18-nt,Top domains
Stage 1 Only,46,0.35,0.20,0.24,0.10,0.11,0.08,0.09,"RuvC(20), REC1(17), REC2(14)"
Stage 1 & 2,50,0.60,0.60,0.52,0.53,0.51,0.13,0.12,"RuvC(53), PI(12), REC1(10)"
All Stages,113,0.54,0.53,0.49,0.56,0.61,0.58,0.54,"RuvC(60), REC2(47), REC1(44)"
Stage 2 Only,19,0.09,0.10,0.11,0.51,0.20,0.10,0.09,"RuvC(15), REC3(8), REC1(6)"
Stage 2 & 3,5,0.27,0.24,0.28,0.39,0.32,0.55,0.56,"PI(2), REC2(2), REC3(2)"
Stage 3 Only,47,0.10,0.10,0.09,0.09,0.09,0.41,0.42,"RuvC(51), PI(15), REC3(9)"
Stage 1 & 3,21,0.39,0.38,0.43,0.26,0.28,0.44,0.42,"RuvC(12), PI(9), HNH(6)"
