Category,n,6-nt,8-nt,10-nt,12-nt,14-nt,16-nt,18-nt,Top domains
Stage 1 Only,47,0.39,0.37,0.24,0.15,0.14,0.11,0.11,"REC3(15), RuvC(13), REC2(11)"
Stage 1 & 2,20,0.54,0.48,0.46,0.64,0.48,0.21,0.23,"RuvC(9), HNH(8), PI(7)"
All Stages,40,0.48,0.55,0.54,0.60,0.65,0.65,0.56,"RuvC(16), REC3(13), REC1(11)"
Stage 2 Only,11,0.09,0.08,0.15,0.35,0.38,0.04,0.08,"RuvC(4), NTS(4), REC1(3)"
Stage 2 & 3,3,0.16,0.23,0.18,0.52,0.65,0.73,0.49,"RuvC(3), TS(2), REC3(1)"
Stage 3 Only,42,0.07,0.09,0.11,0.12,0.12,0.54,0.51,"RuvC(16), NTS(11), PI(10)"
Stage 1 & 3,6,0.40,0.47,0.61,0.24,0.26,0.73,0.72,"PI(3), RuvC(2), REC3(2)"
